,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggresive
0,AsMZK3aGFHs,UCzQxKrGJNxaPv46W9qWIeBA,Tabarca te ha faltado,[0. 0. 0. ... 0. 0. 0.],tabarca faltado,0.0,0.04793612286448479,0.030576040968298912,0.03112426958978176
1,AsMZK3aGFHs,UCGAXEDOzI7c2QaAeLLpNRbg,Si son de España son territorio de España. Con lo cual no están fuera de España. Lo que hay que escuchar.😂,[0. 0. 0. ... 0. 0. 0.],espa territorio espa espa escuchar,0.0,0.0653122216463089,0.01282850094139576,0.03699888661503792
2,AsMZK3aGFHs,UCGBHQoXnfajtCM1WHIhxTzg,''Provincia de Gerona'',[0. 0. 0. ... 0. 0. 0.],provincia gerona,0.0,0.029155857861042023,0.018207499757409096,0.019389750435948372
3,AsMZK3aGFHs,UClazeL67GVCAtIneKf9lk4A,-Latino- sudamerica,[0. 0. 0. ... 0. 0. 0.],latino sudamerica,0.0,0.15062899887561798,0.017964981496334076,0.0491873100399971
4,AsMZK3aGFHs,UCIGmrIv2ZNY98fs3Terwsvg,YO PIENSO QUE INJUSTA MENTE MARRUECOS 🇲🇦 QUIERE TODO LO QUE ES NUESTRO 😮‍💨🤷‍♂️🇪🇦👉❤️🙎‍♀️❤️🙎‍♀️❤️🙎‍♀️❤️😮‍💨🤷‍♂️🇪🇦,[0. 0. 0. ... 0. 0. 0.],pienso injusta ment marrueco quier,0.0,0.12921585142612457,0.007605506107211113,0.06110451743006706
5,AsMZK3aGFHs,UCTYseoOcMf3qCK_BkOLglbA,Gerona si Girona no,[0. 0. 0. ... 0. 0. 0.],gerona girona,0.0,0.036427244544029236,0.027458246797323227,0.02423860877752304
6,AsMZK3aGFHs,UCYQEJZHxPu_9ufSem-2rLAQ,Peticion: ¿Puedes hacer un video hablando del principado de sealand?,[0. 0. 0. ... 0. 0. 0.],peticion pued hacer video hablando principado sealand,0.0,0.0188496895134449,0.007760627660900354,0.009272226132452488
7,AsMZK3aGFHs,UCYk3F39lL5sfKVHXVZ1ZfdA,"De risa esos territorios, España manteniendo piedras y llamandolos territorios",[0. 0. 0. ... 0. 0. 0.],risa territorio espa manteniendo piedra llamandolo territorio,0.0,0.12463392317295074,0.014650453813374043,0.04433149844408035
8,AsMZK3aGFHs,UCYOxt88xolaNYtA03vS_zng,"La isla de Alboranno esta a 90kmdela cosra esñañola, esta a 0km, bueno el. centro de la isla no, esa se aleja de la costa no se cuanto, pero seguro que no tanto como Madrid, Cuenca o Lleida. Y en realidad es el tema del video, qud no solo es la peninsula, ni toda la peninsula",[0. 0. 0. ... 0. 0. 0.],isla alboranno kmdela cosra bueno centro isla aleja costa cuanto seguro madrid cuenca lleida realidad tema video solo peninsula toda peninsula,0.0,0.022999677807092667,0.005707695614546537,0.012551366351544857
9,AsMZK3aGFHs,UCjyiEpwQWOt2kWzQ5ZX9Wng,"Yo he estado 2 quincenas en la isla de alboran,  en noviembre de 2001 y febrero de 2003. Comisionado cuando era militar. Como dato curioso, en mi segunda visita me terminé de leer el señor de los anillos.",[0. 0. 0. ... 0. 0. 0.],quincena isla alboran noviembr febrero comisionado militar dato curioso segunda visita termin leer anillo,0.0,0.01642724499106407,0.009187275543808937,0.011451823636889458
